dataset,sandbox,model,block,paraphrase,effort,score_state,condition,seed,n,used,aborted,unobserved,provider_abort,observed_rate,all_rate,completed_rate,lower_rate,upper_rate
prereg,M2-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B2,p1,off,behind,forbidden,210,210,201,0,0,0,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572
prereg,M3-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B3,p2,off,ahead,forbidden,309,210,185,2,0,0,0.8809523809523809,0.8809523809523809,0.8846153846153846,0.8809523809523809,0.8857142857142857
prereg,M3-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B3,p2,off,behind,forbidden,310,210,199,0,0,0,0.9476190476190476,0.9476190476190476,0.9476190476190476,0.9476190476190476,0.9476190476190476
prereg,M4-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B4,p2,off,ahead,forbidden,409,210,186,5,0,0,0.8857142857142857,0.8857142857142857,0.8829268292682927,0.8857142857142857,0.8857142857142857
prereg,M4-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B4,p2,off,behind,forbidden,410,210,183,0,0,0,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.8714285714285714
prereg,M5-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B5,p3,off,ahead,forbidden,509,210,186,1,0,0,0.8857142857142857,0.8857142857142857,0.8851674641148325,0.8857142857142857,0.8857142857142857
prereg,M5-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B5,p3,off,behind,forbidden,510,210,193,1,0,0,0.919047619047619,0.919047619047619,0.9186602870813397,0.919047619047619,0.919047619047619
prereg,M6-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B6,p3,off,ahead,forbidden,609,210,187,3,0,0,0.8904761904761904,0.8904761904761904,0.893719806763285,0.8904761904761904,0.8952380952380953
prereg,M6-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B6,p3,off,behind,forbidden,610,210,194,1,0,0,0.9238095238095239,0.9238095238095239,0.9234449760765551,0.9238095238095239,0.9238095238095239
replication,B1-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,ahead,hidden,113,210,210,11,0,0,1.0,1.0,1.0,1.0,1.0
replication,B1-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,behind,hidden,114,210,210,1,0,0,1.0,1.0,1.0,1.0,1.0
replication,B1-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,ahead,permitted,105,210,210,3,0,0,1.0,1.0,1.0,1.0,1.0
replication,B1-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,behind,permitted,106,210,210,0,0,0,1.0,1.0,1.0,1.0,1.0
replication,B2-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,hidden,213,210,210,7,0,0,1.0,1.0,1.0,1.0,1.0
replication,B2-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,hidden,214,210,210,4,0,0,1.0,1.0,1.0,1.0,1.0
replication,B2-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,permitted,205,210,210,1,0,0,1.0,1.0,1.0,1.0,1.0
replication,B2-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,permitted,206,210,210,1,0,0,1.0,1.0,1.0,1.0,1.0
replication,B3-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,hidden,313,210,210,4,0,0,1.0,1.0,1.0,1.0,1.0
replication,B3-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,hidden,314,210,210,3,0,0,1.0,1.0,1.0,1.0,1.0
replication,B3-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,permitted,305,210,210,13,0,0,1.0,1.0,1.0,1.0,1.0
replication,B3-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,permitted,306,210,210,7,0,0,1.0,1.0,1.0,1.0,1.0
replication,B4-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,hidden,413,210,210,4,0,0,1.0,1.0,1.0,1.0,1.0
replication,B4-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,hidden,414,210,210,2,0,0,1.0,1.0,1.0,1.0,1.0
replication,B4-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,permitted,405,210,210,22,0,0,1.0,1.0,1.0,1.0,1.0
replication,B4-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,permitted,406,210,210,5,0,0,1.0,1.0,1.0,1.0,1.0
replication,B5-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,hidden,513,210,210,3,0,0,1.0,1.0,1.0,1.0,1.0
replication,B5-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,hidden,514,210,210,5,0,0,1.0,1.0,1.0,1.0,1.0
replication,B5-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,permitted,505,210,210,1,0,0,1.0,1.0,1.0,1.0,1.0
replication,B5-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,permitted,506,210,210,6,0,0,1.0,1.0,1.0,1.0,1.0
replication,B6-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,hidden,613,210,210,4,0,0,1.0,1.0,1.0,1.0,1.0
replication,B6-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,hidden,614,210,210,2,0,0,1.0,1.0,1.0,1.0,1.0
replication,B6-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,permitted,605,210,210,1,0,0,1.0,1.0,1.0,1.0,1.0
replication,B6-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,permitted,606,210,210,4,0,0,1.0,1.0,1.0,1.0,1.0
