model,condition,unit,variant,contrast,k,mean_pp,positive,negative,raw_p,min_pp,max_pp
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,any,A,6,-1.5700483091787454,0,6,0.03125,-4.347826086956519,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,any,B,6,0.06038647342995196,2,1,1.0,-0.36231884057971175,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,decoy,A,6,-0.543478260869564,1,4,0.5625,-3.2608695652173836,1.0869565217391353
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,decoy,B,6,0.543478260869564,4,1,0.4375,-1.0869565217391353,2.536231884057971
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,final,A,6,-1.5700483091787454,0,6,0.03125,-4.347826086956519,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,final,B,6,0.06038647342995196,2,1,1.0,-0.36231884057971175,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,post,A,6,5.676328502415459,5,1,0.09375,-2.536231884057971,13.405797101449268
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,post,B,6,-3.2004830917874387,1,5,0.09375,-6.521739130434789,1.0869565217391353
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,read,A,6,-1.5700483091787454,0,6,0.03125,-4.347826086956519,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,read,B,6,0.06038647342995196,2,1,1.0,-0.36231884057971175,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,reported_final,A,6,-1.5700483091787454,0,6,0.03125,-4.347826086956519,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,reported_final,B,6,0.06038647342995196,2,1,1.0,-0.36231884057971175,0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,round1,A,6,-28.502415458937197,0,6,0.03125,-57.2463768115942,-12.318840579710145
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,agent_game,round1,B,6,0.06038647342995381,4,2,1.0,-1.449275362318836,0.7246376811594235
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,any,A,6,-1.349206349206348,0,5,0.0625,-2.857142857142858,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,any,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,decoy,A,6,-0.39682539682539725,1,4,0.375,-1.4285714285714346,0.952380952380949
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,decoy,B,6,-0.07936507936507724,2,2,1.0,-1.904761904761898,1.4285714285714346
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,final,A,6,-1.349206349206348,0,5,0.0625,-2.857142857142858,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,final,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,post,A,6,3.2539682539682517,4,2,0.125,-0.4761904761904745,9.04761904761905
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,post,B,6,-3.1746031746031727,2,4,0.125,-9.04761904761905,1.4285714285714346
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,read,A,6,-1.349206349206348,0,5,0.0625,-2.857142857142858,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,read,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,reported_final,A,6,-1.349206349206348,0,5,0.0625,-2.857142857142858,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,reported_final,B,6,0.0,0,0,1.0,0.0,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,round1,A,6,-23.80952380952381,0,6,0.03125,-50.0,-9.523809523809524
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,game,round1,B,6,0.07936507936507908,2,1,1.0,-0.952380952380949,0.952380952380949
