contrast,opponent_type,outcome,mean_diff,n_pos,k,p_exact_signflip,mean_A,mean_B,per_block_A,per_block_B
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,retaliation_rate,0.0060430621405474505,2,6,0.90625,0.8226566440849906,0.8166135819444431,0.795;0.761;0.791;0.838;0.889;0.862,0.899;0.838;0.823;0.956;0.663;0.721
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,forgiveness_rate,-0.023863847224999468,3,6,0.65625,0.3352031263930577,0.3590669736180572,0.684;0.286;0.087;0.158;0.318;0.478,0.529;0.412;0.231;0.143;0.316;0.524
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,mutual_D,0.11652107233203157,5,6,0.0625,0.594476056400399,0.4779549840683674,0.482;0.504;0.687;0.577;0.655;0.662,0.483;0.484;0.403;0.490;0.477;0.530
"Q6 high - off (forbidden, behind, DeepSeek)",Grudger,nice,-0.20138888888888887,0,6,0.03125,0.0763888888888889,0.27777777777777773,0.208;0.125;0.000;0.083;0.042;0.000,0.250;0.292;0.458;0.375;0.208;0.083
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,own_coop_played,-0.13659842089277616,0,6,0.03125,0.44884335003084486,0.5854417709236209,0.424;0.464;0.566;0.429;0.444;0.366,0.684;0.725;0.593;0.652;0.446;0.414
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,spr,-0.08887347281138125,3,6,0.53125,1.867675281404117,1.956548754215498,1.978;1.926;2.017;2.106;1.640;1.539,2.387;2.377;2.286;2.070;1.482;1.136
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,opp_spr,-0.33092461327363804,0,6,0.03125,2.0396970890013844,2.3706217022750224,1.916;2.016;2.260;1.828;2.185;2.034,2.391;2.559;2.267;2.380;2.332;2.295
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,round1_coop,-0.125,1,6,0.125,0.6319444444444444,0.7569444444444445,0.750;0.833;0.708;0.542;0.542;0.417,0.917;0.958;0.750;0.917;0.708;0.292
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,retaliation_rate,0.10460924937652559,5,6,0.0625,0.8166135819444431,0.7120043325679175,0.899;0.838;0.823;0.956;0.663;0.721,0.914;0.615;0.773;0.691;0.637;0.642
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,forgiveness_rate,-0.025224942195597743,2,6,0.65625,0.3590669736180572,0.3842919158136549,0.529;0.412;0.231;0.143;0.316;0.524,0.300;0.417;0.462;0.462;0.348;0.318
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,mutual_D,0.12296869915892218,6,6,0.03125,0.4779549840683674,0.35498628490944534,0.483;0.484;0.403;0.490;0.477;0.530,0.294;0.238;0.318;0.305;0.454;0.520
"Q5 behind - ahead (forbidden, off, DeepSeek)",Grudger,nice,-0.04861111111111111,2,6,0.625,0.27777777777777773,0.3263888888888889,0.250;0.292;0.458;0.375;0.208;0.083,0.583;0.458;0.375;0.417;0.042;0.083
